report_id,report_type,report_chapter,report_page,report_title,stage,data_source,source_year,unit,population_definition,current_web_component,current_data_file,proposed_web_role,proposed_chart_type,proposed_interactions,proposed_filters,priority,status,caveat,download_file,notes
TAB101,table,1,TBD (needs final formatted report page numbers),How Much of U.S. STEM Training Goes to International Students?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB101*.csv,interactive_table,data table,"sort, search",,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""How much of US STEM training goes to international students"" — a table per the doc's own disposition list, not forced into a chart."
FIG201,figure,2,TBD (needs final formatted report page numbers),What Degree Level Attracts the Most International Students by Count?,graduate-training,"IIE, ""International Students by Academic Level,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG201*.csv,stage_hero,international training explorer (Nivo Line),toggle count/share; country/region/degree/field filters; up to 4-way compare,"country, region, degree level, field",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Stage hero per 7.3.
FIG202,figure,2,TBD (needs final formatted report page numbers),What Degree Level Attracts the Most International Students by Share?,graduate-training,"IIE, ""International Students by Academic Level,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG202*.csv,integrated_into_other_visual,"same explorer as FIG201, share view",,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG203,figure,2,TBD (needs final formatted report page numbers),Which Countries Account for the Largest Share of International Undergraduates?,graduate-training,"IIE, ""International Students by Academic Level and Place of Origin,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG203*.csv,supporting_visual,"origin map + time slider, linked ranked list",map<->rank sync; level/measure toggle,degree level,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Origin map with time slider"" module."
FIG204,figure,2,TBD (needs final formatted report page numbers),Which Countries Account for the Largest Share of International Graduate Students?,graduate-training,"IIE, ""International Students by Academic Level and Place of Origin,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG204*.csv,integrated_into_other_visual,"same map, graduate-level toggle",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG205,figure,2,TBD (needs final formatted report page numbers),Which STEM Fields Draw the Most International Students?,graduate-training,"IIE, ""Number of International Students by Field of Study,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG205*.csv,supporting_visual,small multiples by field,field filter,field,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Which STEM fields draw the most international students."""
FIG206,figure,2,TBD (needs final formatted report page numbers),Which Countries Send the Most International STEM Students?,graduate-training,"IIE, ""Fields of Study of Students from Selected Places of Origin,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG206*.csv,integrated_into_other_visual,"same map, STEM-field toggle",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),18-country line chart today — real case for the >6-series rule (4.5); becomes a map+rank view instead of lines.
FIG207,figure,2,TBD (needs final formatted report page numbers),"How International Are U.S. Postdoctoral Researchers, by Field?",graduate-training,"NCSES, Survey of Graduate Students and Postdoctorates in Science and Engineering, 1994–2025.",1994–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG207*.csv,supporting_visual,area/line chart by field,toggle count/share when data permits,field,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Postdoctoral composition"" module."
FIG208,figure,2,TBD (needs final formatted report page numbers),Who Holds Postdoctoral Positions at Federally Funded Research Centers?,graduate-training,"NCSES, Postdocs at Federally Funded R&D Centers, 2010–2023.",2010–2023,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG208*.csv,integrated_into_other_visual,"grouped bar, citizenship split",,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Federally funded centers"" — companion to FIG207."
FIG209,figure,2,TBD (needs final formatted report page numbers),How Much Do International Students Contribute to the U.S. Economy?,graduate-training,"U.S. Bureau of Economic Analysis, ""U.S. Trade in Services,"" Table 2.1, line 21; first reported in Baer and Ekin, Fall 2025 Snapshot (IIE, 2025).",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG209*.csv,supporting_visual,"single annotated line, nominal/real caveat",,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Economic contribution"" module."
FIG210,figure,2,TBD (needs final formatted report page numbers),How Much Did International Enrollment Change in 2025?,graduate-training,"IIE, Fall 2025 Snapshot on International Student Enrollment, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG210*.csv,supporting_visual,"ranked bar, survey wording retained",,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Recruitment and enrollment change"" — keep grouped separately from admin time series per 7.3 acceptance criteria."
FIG211,figure,2,TBD (needs final formatted report page numbers),Where are American Institutions Focusing Their Recruitment Efforts Abroad?,graduate-training,"IIE, Fall 2025 Snapshot on International Student Enrollment, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG211*.csv,integrated_into_other_visual,ranked bar,,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG212,figure,2,TBD (needs final formatted report page numbers),What Do Institutions Cite as the Reason for Decreasing International Enrollments?,graduate-training,"IIE, Fall 2025 Snapshot on International Student Enrollment, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG212*.csv,integrated_into_other_visual,ranked bar,,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
TAB201,table,2,TBD (needs final formatted report page numbers),Which Regions Do International Students Come From?,graduate-training,"IIE, ""International Student Totals by Place of Origin,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB201*.csv,supporting_visual,region-share area/line,,region,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Which regions send international students.
TAB202,table,2,TBD (needs final formatted report page numbers),What Share of Each Country's International Students Are Enrolled in Key STEM Fields?,graduate-training,"IIE, ""Fields of Study of Students from Selected Places of Origin,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB202*.csv,supporting_visual,country x field heatmap (Nivo HeatMap),click cell -> time trend; year toggle,"field, year",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Country x field concentration matrix"" — the doc's own named module; TAB202's 3 real parts (Engineering/Math&CS/Physical&Life) ARE the matrix columns. Replaces 3 separate crowded line panels (TAB202-a/b/c today)."
TAB203,table,2,TBD (needs final formatted report page numbers),Who Enrolls in U.S. Graduate Programs?,graduate-training,"NCSES, Survey of Graduate Students and Postdoctorates in Science and Engineering, 1994–2025.",1994–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB203*.csv,integrated_into_other_visual,part of the same postdoc composition module (Science/Engineering/Health parts),,field,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"TAB203's 3 real parts feed the same module as FIG207/208, not 3 separate panels."
TAB204,table,2,TBD (needs final formatted report page numbers),Who Earns U.S. STEM Doctorates?,graduate-training,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB204*.csv,integrated_into_other_visual,feeds FIG108's domestic/international-by-field story,,field,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Doctorates by field, USC vs TVH — same story as FIG108, different cut."
FIG301,figure,3,TBD (needs final formatted report page numbers),Who Actually Works in STEM After Earning a STEM Degree?,workforce-entry,"NCSES, National Survey of College Graduates.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG301*.csv,supporting_visual,grouped dot plot by degree + nativity,degree filter,"degree level, nativity",P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""STEM employment after STEM degree"" — replace 8 undifferentiated lines with small multiples per 7.4."
FIG302,figure,3,TBD (needs final formatted report page numbers),Which Employers Receive the Most H-1B Approvals?,workforce-entry,"USCIS, H-1B Employer Data Hub, 2009–2026.",2009–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),LeaderboardYears,talent_charts/data/FIG302*.csv,stage_hero,H-1B employer explorer (interactive table + Nivo Bar),top-5/10/25 toggle; year selector; employer search; rank-change indicator,"year, top-N",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Stage hero per 7.4 — real employer-name normalization needed (see 7.4 acceptance criteria; not currently documented anywhere).
FIG303,figure,3,TBD (needs final formatted report page numbers),Are H-1B Approvals Still Concentrated Among a Few Employers?,workforce-entry,"USCIS, H-1B Employer Data Hub, 2009–2026.",2009–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG303*.csv,integrated_into_other_visual,"concentration-over-time line, feeds the hero's trend view",,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Top-10 share trend — this app's own real derived stat (see CLAUDE.md's FIG303 note), belongs IN the hero, not a separate panel."
FIG304,figure,3,TBD (needs final formatted report page numbers),Who Founded Leading U.S. AI Companies?,workforce-entry,"Forbes AI 50, 2019–2025.",2019–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG304*.csv,integrated_into_other_visual,"share-over-time line, feeds FIG305/306",,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Forbes AI50 founder-origin share by year — context for the map/company view.
FIG305,figure,3,TBD (needs final formatted report page numbers),Where Do Immigrant AI Founders Come From?,workforce-entry,"Forbes AI 50, 2019–2025.",2019–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),WorldMap,talent_charts/data/FIG305*.csv,supporting_visual,origin map / flow,,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""AI founder origins"" module."
FIG306,figure,3,TBD (needs final formatted report page numbers),Which Leading AI Companies Were Founded by Immigrants?,workforce-entry,"Forbes AI 50, 2019–2025.",2019–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG306*.csv,integrated_into_other_visual,"ranked bar, company list + valuation view",founder-origin filter,founder origin,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Company valuation"" — do not imply causation between origin and valuation (7.4 acceptance criteria)."
FIG307,figure,3,TBD (needs final formatted report page numbers),How Does Founder Origin Vary Across AI Startup Valuations?,workforce-entry,"Forbes AI 50, 2019–2025.",2019–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG307*.csv,integrated_into_other_visual,ranked bar by valuation band,,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG308,figure,3,TBD (needs final formatted report page numbers),Do Leading AI Companies Staff Their Research Globally or at Home?,workforce-entry,"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG308*.csv,supporting_visual,coordinated domestic/global staffing view,,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Where research staff work"" module."
TAB301,table,3,TBD (needs final formatted report page numbers),Which STEM Graduates Work in STEM Occupations?,workforce-entry,"NCSES, National Survey of College Graduates.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB301*.csv,integrated_into_other_visual,"same dot plot, occupation cut",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
TAB302,table,3,TBD (needs final formatted report page numbers),How Concentrated Are Temporary Visa Holders in STEM Occupations?,workforce-entry,"NCSES, National Survey of College Graduates.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB302*.csv,supporting_visual,field selector + direct comparison,field filter,occupation,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Temporary visa concentration by occupation"" — currently one overloaded 7-series line."
TAB303,table,3,TBD (needs final formatted report page numbers),How Has the Mix of Top H-1B Employers Changed?,workforce-entry,"USCIS, H-1B Employer Data Hub, 2009–2026",2009–2026,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,TBD - blocked on data,,,P1,not_yet_ported,"computed inline in report R pipeline from other tables, no standalone source",TBD (Phase 9.5 — CSV per chart not yet built)," BLOCKED: computed inline in report R pipeline from other tables, no standalone source"
FIG401,figure,4,TBD (needs final formatted report page numbers),How Do American Students Score on International Tests?,foundation,"OECD, PISA 2022 Results.",2022,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG401*.csv,stage_hero,indexed line chart (Nivo Line),toggle indexed/reported score; end labels; keyboard series select,subject (math/reading/science),P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Stage hero per task-doc 7.1.
FIG402,figure,4,TBD (needs final formatted report page numbers),How Do OECD Countries Rank in Math?,foundation,"OECD, PISA 2022 Results.",2022,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),WorldMap,talent_charts/data/FIG402*.csv,supporting_visual,choropleth map + linked ranked dot plot,map<->rank sync; country search,metric (math/science mean),P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""OECD comparison map and rank"" module."
FIG403,figure,4,TBD (needs final formatted report page numbers),How Do OECD Countries Rank in Math Proficiency?,foundation,"OECD, PISA 2022 Results.",2022,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG403*.csv,integrated_into_other_visual,stacked proficiency-band bar,hover exact share,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Companion to FIG402 — proficiency-level distribution, not a standalone hero."
FIG404,figure,4,TBD (needs final formatted report page numbers),Does Spending More on Schools Buy Better Results?,foundation,"OECD, Education at a Glance 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG404*.csv,supporting_visual,scatterplot (Nivo ScatterPlot),country search; OECD avg + US reference lines,subject,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Spending versus results"" module."
FIG405,figure,4,TBD (needs final formatted report page numbers),How Lopsided Is U.S. Education Spending?,foundation,"OECD, Education at a Glance 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),none,(none - see caveat),supporting_visual,TBD - blocked on data,,,P1,not_yet_ported,"computed inline in report R pipeline from other tables, no standalone source",TBD (Phase 9.5 — CSV per chart not yet built)," BLOCKED: computed inline in report R pipeline from other tables, no standalone source"
FIG406,figure,4,TBD (needs final formatted report page numbers),"Do Students Who Leave STEM Leave College, or Just Leave STEM?",foundation,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG406*.csv,integrated_into_other_visual,cohort flow / Sankey step,cohort toggle,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Same module as TAB401 — merge into one explorer, not two panels."
FIG407,figure,4,TBD (needs final formatted report page numbers),"Which STEM Fields Keep Their Students, and Which Lose Them?",foundation,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/FIG407*.csv,integrated_into_other_visual,small multiples by field,field filter,field,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Which STEM fields keep their students"" — pairs with the completion-path module."
FIG408,figure,4,TBD (needs final formatted report page numbers),When Do Non-Completers Leave College?,foundation,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG408*.csv,supporting_visual,step/survival chart,year-of-departure hover,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""When students leave"" module — explicitly not ""many small lines"" per the doc."
FIG409,figure,4,TBD (needs final formatted report page numbers),How Many Americans Study Abroad?,foundation,"IIE, ""U.S. Study Abroad for Academic Credit Trends,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG409*.csv,supporting_visual,"line chart, US share overlay",,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Study abroad — secondary expandable section per 7.1.
FIG410,figure,4,TBD (needs final formatted report page numbers),How Many Students Study Abroad From Each Country?,foundation,"UNESCO Institute for Statistics, ""Total Outbound Internationally Mobile Tertiary Students,"" UIS.Stat; author's compilation.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),LeaderboardYears,talent_charts/data/FIG410*.csv,supporting_visual,origin map + time slider,year slider,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Study abroad flow — secondary.
FIG411,figure,4,TBD (needs final formatted report page numbers),"Which Countries Import Students, and Which Export Them?",foundation,"UNESCO Institute for Statistics, ""Net Flow of Internationally Mobile Students (Inbound − Outbound),"" UIS.Stat; author's compilation.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG411*.csv,integrated_into_other_visual,import/export net-flow map,,,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Companion to FIG410.
TAB401,table,4,TBD (needs final formatted report page numbers),What Share of STEM Entrants Finish with a STEM Degree?,foundation,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB401*.csv,supporting_visual,cohort flow / Sankey step,cohort toggle (04/09 vs 12/17),,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""STEM completion path"" module — replaces separate attrition cards."
TAB402,table,4,TBD (needs final formatted report page numbers),How Often Do U.S. STEM Students Change Majors?,foundation,"NCES, BPS:04/09 and BPS:12/17 (PowerStats).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),BarRow (generic fallback),talent_charts/data/TAB402*.csv,integrated_into_other_visual,grouped bar (never/once/more than once),,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Major-switching frequency — companion stat to the completion path.
TAB403,table,4,TBD (needs final formatted report page numbers),What Do Americans Study Abroad?,foundation,"IIE, ""Percent of U.S. Study Abroad Students by Field of Study,"" Open Doors, 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB403*.csv,integrated_into_other_visual,field-share bar,,field,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Study abroad fields — secondary.
TAB404,table,4,TBD (needs final formatted report page numbers),Where Do Americans Study Abroad?,foundation,"IIE, ""Host Regions of U.S. Study Abroad Students,"" Open Doors, 2024.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/TAB404*.csv,integrated_into_other_visual,region-share bar,,region,P3,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),Study abroad destinations — secondary.
FIG501,figure,5,TBD (needs final formatted report page numbers),Who Presents at Machine Learning's Most Selective Venue?,research-output,"Paper Copilot, conference acceptance and submission statistics; author's compilation.",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG501*.csv,stage_hero,"US-China metric-switcher explorer (Nivo, mixed chart types)",metric switcher (conference/citations/top-papers/R&D/patents/company impact),metric,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Stage hero per 7.6 — one explorer switching among the metrics named in the doc, not 8 separate hero-weight panels."
FIG502,figure,5,TBD (needs final formatted report page numbers),Who Produces the Most-Cited Research in Emerging Technologies?,research-output,"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG502*.csv,integrated_into_other_visual,feeds the metric-switcher hero,,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG503,figure,5,TBD (needs final formatted report page numbers),Whose Authors Appear on the World's Top Papers?,research-output,"OpenAlex (Priem, Piwowar, and Orr).",TBD (not machine-extractable from citation text),TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG503*.csv,integrated_into_other_visual,feeds the metric-switcher hero,,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG504,figure,5,TBD (needs final formatted report page numbers),Where Do the World's Most-Cited Researchers Work?,research-output,"Clarivate, ""Highly Cited Researchers,"" 2014–2025.",2014–2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG504*.csv,supporting_visual,"toggle count/global-share, separate scales",,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Highly cited researchers"" module."
